Куйбышевазот [0, 0, 0, 0, 0, 0, 4.3, 3.25, 2.0, 3.0, 4.8, 2.0, 5.0, 7.0, 0, 16.85]
Камаз [0, 0, 0, 0, 0, 0, 0, 0.69, 0.29, 0, 0, 0.42, 1.06, 0, 0, 0.54]
Саратовский НПЗ-ап [0, 0, 0, 0, 0, 0, 471.64, 804.96, 998.77, 1713.22, 1734.32, 1051.46, 1035.34, 1490.13, 1766.52, 1132.93]
Красноярскэнергосбыт-ао [0, 0, 0, 0.4805, 0.18, 0.5113, 0, 0.5841, 0, 0.2772, 0.7667, 0.4443, 0.5072, 0.455, 0.6065, 0.6471]
Банк Кузнецкий [0, 0, 0, 0, 0, 0, 0, 0.0001262, 0.0003873, 0.0006335, 0, 0.0010666, 0, 0.0015109, 0, 0.0014664]
КазаньОргсинтез-п [0, 0, 0, 0, 0, 0, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.5]
КазаньОргСинтез-п [0, 0, 0, 0, 0, 0, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.5]
КазаньОргсинтез-ао [0, 0, 0, 0, 0, 0, 0.06, 0.5353, 0.3458, 1.01, 3.23, 5.07, 4.25, 7.79, 4.55, 9.11]
КазаньОргСинтез-ао [0, 0, 0, 0, 0, 0, 0.06, 0.5353, 0.3458, 1.01, 3.23, 5.07, 4.25, 7.79, 4.55, 9.11]
ЛУКОЙЛ [33.0, 38.0, 42.0, 50.0, 52.0, 59.0, 115.0, 100.0, 120.0, 159.0, 187.0, 205.0, 225.0, 347.0, 396.0, 553.0]
Лензолото-п [0, 0, 0, 0, 101.65, 418.5, 283.26, 439.12, 4.78, 18.92, 690.15, 34.18, 8.71, 110.0, 13.87, 3699.27]
Лензолото-ао [0, 0, 0, 0, 340.41, 1684.19, 1158.17, 1764.11, 0, 0, 0, 0, 0, 0, 0, 15219.5]
Ленэнерго-п (Россети Ленэнерго) [0, 0.4546, 0.9822, 1.65, 3.49, 4.08, 1.52, 1.32, 0.4556, 0, 0, 8.11, 13.47, 11.14, 13.62, 15.17]
Ленэнерго-ао (Россети Ленэнерго) [0, 0, 0, 0, 0, 0, 0, 0.1631, 0.0391, 0, 0, 0.1331, 0.1366, 0.0352, 0.0947, 0.2626]
ЛСР [0, 0, 0, 0, 0, 15.0, 20.0, 20.0, 40.0, 78.0, 78.0, 78.0, 78.0, 78.0, 50.0, 39.0]
Левенгук [0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0708, 0, 0.0377, 0.0416, 0.042, 0.045, 0.3]
ММК [2.85, 1.309, 0.884, 0, 0.37, 0.33, 0.28, 0, 0.58, 0.58, 1.03, 3.2190000000000003, 5.307, 3.5799999999999996, 3.767, 8.655000000000001]
Мать и дитя [0, 0, 0, 0, 0, 0, 0, 4.05, 2.43, 3.67, 10.31, 9.04, 5.98, 10.76, 28.27, 37.39]
Магнит [0, 0, 0, 6.22, 10.06, 11.24, 44.589999999999996, 101.08000000000001, 319.52, 220.97, 432.78999999999996, 182.92000000000002, 272.88, 166.78, 304.19, 784.99]
МГТС-п [0, 39.77, 46.98, 20.16, 69.6, 197.94, 0, 0, 78.1, 56.27, 222.0, 233.0, 231.0, 232.0, 0, 0]
МГТС [0, 8.75, 4.7, 2.02, 0, 197.94, 0, 0, 15.26, 10.99, 222.0, 233.0, 231.0, 232.0, 0, 0]
Московская биржа [0, 0, 0, 0, 0, 0, 0, 1.22, 2.38, 3.87, 7.11, 10.17, 5.47, 7.7, 7.93, 9.45]
МРСК Центра (Россети Центр) [0, 0, 0, 0, 0, 0.0145, 0.01, 0.0204, 0.0018, 0.0197, 0.0108, 0.0442, 0.0208, 0.0208, 0.0201, 0.0335]
МРСК СК (Россети СК) [0, 0, 0, 0, 0, 0, 0, 2.86, 0.8695, 0, 0, 0, 0, 0, 0, 0]
МРСК Центра и Приволжья (Россети ЦП) [0, 0, 0, 0, 0, 0.0012511, 0.0028, 0.00425, 0.00563, 0.0031, 0.0083636, 0.0118, 0.0402, 0.0407, 0.0163, 0.0259]
МРСК Сибири (Россети Сибирь) [0, 0, 0, 0.001592, 0, 0, 0, 0.00305, 0, 0.0003, 0, 0, 0.0037, 0.00102, 0.002917, 0]
МРСК Урала (Россети Урал) [0, 0, 0, 0, 0, 0.0028, 0.0028, 0.00179, 0.00102, 0.0058, 0.0142, 0.0083, 0.0216, 0.003, 0.0105, 0]
МРСК Волги (Россети Волга) [0, 0, 0, 0, 0, 0, 0.00112, 0.00163, 0.0001, 0.0001, 0.0012743, 0.007044, 0.0148, 0.0132, 0.0064622, 0]
МРСК Юга (Россети Юг) [0, 0, 0, 0, 0, 0, 0, 0, 0.00014, 0, 0.0028527, 0, 0.0054644, 0.0068417, 0, 0]
МРСК СЗ (Россети СЗ) [0, 0, 0, 0, 0, 0, 0, 0.0001614, 0.0008, 0, 0.004254, 0.0011608, 0, 0.003985, 0.0032724, 0]
Мосэнерго [0.0161, 0.0316, 0, 0, 0.0126, 0.02, 0.03, 0.03, 0.04, 0.01, 0.0566, 0.0848, 0.1659, 0.21, 0.1207, 0.1794]
МОЭСК (Россети Московский регион) [0.00177, 0, 0, 0, 0.0092389, 0.0246, 0.025, 0.0882, 0.0597, 0.0422, 0.1297, 0.0312, 0.0316, 0.059, 0.0679, 0.0493]
Мостотрест [0, 0, 0, 0, 0, 3.0, 7.1, 7.8, 7.09, 7.09, 10.64, 19.09, 2.19, 0, 11.29, 0]
Мечел-ап [0, 0, 0, 0, 0, 26.21, 31.28, 0.05, 0.05, 0.05, 0.05, 10.28, 16.66, 18.21, 3.48, 1.17]
Мечел-ао [0, 0, 0, 5.53, 1.09, 8.73, 8.06, 0, 0, 0, 0, 0, 0, 0, 0, 0]
МТС [7.6, 9.67, 14.84, 20.15, 15.4, 14.54, 14.71, 19.82, 24.8, 25.169999999999998, 26.0, 26.0, 26.0, 28.66, 42.75, 37.06]
М.Видео [0, 0, 0, 0, 2.3, 3.9, 35.8, 13.8, 45.0, 27.0, 20.0, 0, 0, 33.37, 30.0, 73.0]
НКХП [0, 0, 0, 0, 0, 0, 0, 0, 0, 14.79, 12.07, 16.57, 23.41, 6.96, 7.32, 26.689999999999998]
НКНХ-п [0, 0, 0.6715, 0.3098, 0.07, 1.18, 2.36, 2.78, 1.0, 1.52, 4.34, 0, 0, 19.94, 9.07, 10.27]
