Сбербанк-п;M;20200801;000000;215.5;172281790
Сбербанк-п;M;20200901;000000;221.8;207563610
Сбербанк-п;M;20201001;000000;192.91;210432610
Сбербанк-п;M;20201101;000000;229.25;233968590
Сбербанк-п;M;20201201;000000;242.06;167077820
Сбербанк-п;M;20210101;000000;237.78;129866730
Сбербанк-п;M;20210201;000000;249.4;92446680
Сбербанк-п;M;20210301;000000;270.93;134166350
Сбербанк-п;M;20210401;000000;283.5;147981990
Сбербанк-п;M;20210501;000000;293.28;136597740
Сбербанк-п;M;20210601;000000;282.16;69470030
Сбербанк-п;M;20210701;000000;288.7;68215410
Сбербанк-п;M;20210801;000000;308.65;75213690
Сбербанк-п;M;20210901;000000;317.26;61930400
Сбербанк-п;M;20211001;000000;322.38;122325370
Сбербанк-п;M;20211101;000000;291.82;147875210
Сбербанк-п;M;20211201;000000;279;199430410
Сбербанк-п;M;20220101;000000;255.53;424781310
Сбербанк-п;M;20220201;000000;131.3;502128660
Сбербанк-п;M;20220301;000000;145.9;51913180
Сбербанк-п;M;20220401;000000;130.4;125676370
Сбербанк-п;M;20220501;000000;111.61;112026600
Сбербанк-п;M;20220601;000000;121.21;117951310
Сбербанк-п;M;20220701;000000;125.55;87727850
Сбербанк-п;M;20220801;000000;128.32;77174670
Сбербанк-п;M;20220901;000000;105.66;175700930
Сбербанк-п;M;20221001;000000;120.56;128777960
Сбербанк-п;M;20221101;000000;131.54;106717330
Сбербанк-п;M;20221201;000000;140.99;89627230
